,shap_value
wind_speed,32.5812393109217
pressure,9.391201891322048
month,6.024370259519618
is_rush_hour,4.836089609323469
humidity,2.9241616954911134
hour,2.6622072636544822
precipitation,1.966634714237157
aqi_change_rate,1.2423008260402226
weather_code,0.9304000280547783
temp,0.8102523135797045
day,0.7301765448765716
feels_like,0.2926364121812693
dayofweek,0.1449799331199394
wind_direction,0.08547394494939942
is_weekend,0.0217125804142984
